Band #,date (D/M/Y),Colour,Darvic,Sex,Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
837391,12/10/1989,BOO,A47,NA,ad,0,0,0,0,0,0,0,1,1,3,3,3,1,3,3,3,3,3,3,3,1,5,0,0,4,0,0,0,0,0,0,0,0,0
844853,1/2/1987,WOY,A48,M,fl,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,3,5,1,1,1,3,5,3,3,3,5,3,1,5,0,0,0,0
837311,10/22/1988,ORR,A49,F,ad,0,0,0,0,0,0,1,1,1,1,3,5,3,1,3,3,5,3,5,3,5,5,3,3,3,3,5,3,1,0,3,0,0,0
816157,10/25/1982,YBB,A50,M,ad,0,1,3,0,3,3,3,1,3,5,5,1,1,1,5,5,0,5,5,3,1,3,5,1,5,5,3,1,1,5,3,5,1,3
816363,3/11/1982,NGB,A51,F,ad,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
816383,4/11/1982,NYN,A51,F,ad,1,3,0,3,3,0,5,1,5,0,5,3,0,0,5,3,0,3,1,5,5,5,3,5,3,5,5,0,0,0,0,0,0,0
816169,10/26/1982,WYW,A52,F,ad,3,3,3,3,5,0,3,3,3,3,5,3,1,0,3,3,3,3,5,3,3,3,1,3,1,3,3,3,1,0,0,1,1,1
816170,10/26/1982,WYB,A53,M,ad,3,5,3,3,3,0,3,5,3,5,3,5,5,3,0,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
844483,7/10/1983,YNW,A54,F,ad,0,1,0,5,5,0,3,1,3,5,3,3,0,0,5,3,5,5,3,3,5,3,3,3,3,3,3,3,5,0,0,0,0,0
844628,12/11/1986,OYY (was dupl OBG - see 847507),A55,F,ad,0,0,0,0,1,5,0,3,5,1,3,0,5,0,1,0,3,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
835162,10/17/1993,YOG,A57,F,ad,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,1,3,3,3,5,5,3,3,5,3,5,5,0,0,0,0,0
847858,9/20/1999,NA,A58,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847513,1/10/1987,OBR,A59,F,ad,0,0,0,0,0,0,3,3,3,1,3,3,1,3,1,3,3,1,3,1,5,3,3,5,3,3,0,0,0,0,0,0,0,0
845356,7/10/1990,GOB,A60,M,ad,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,3,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
816198,10/31/1982,NGN,A61,M,ad,1,3,0,3,3,1,5,3,3,1,3,1,3,0,3,5,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
830417,9/11/1979,YNG,A62,F,ad,0,1,0,3,0,3,0,5,3,3,3,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837395,10/15/1989,BBO,A63,M,ad,0,0,0,0,5,0,0,1,1,1,5,1,0,1,1,0,0,1,1,3,0,3,5,3,1,3,5,3,1,0,0,1,1,0
837347,3/26/1989,NA,A64,NA,fl,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847543,10/14/1987,OGR,A65,M,ad,0,0,0,0,0,1,5,0,1,5,3,3,0,3,3,3,3,5,5,5,5,5,3,5,1,3,5,5,1,0,0,0,0,0
816184,10/27/1982,RNY,A66,F,ad,3,0,0,3,3,1,3,1,1,5,1,0,3,1,3,5,1,5,3,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0
844681,3/27/1985,NA,A67,F,fl,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0
847789,12/3/1992,NA,A68,M,fl,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,5,5,1,5,5,5,3,5,3,3,5,0,0,0,0,0
816159,10/25/1982,WRN,A69,F,ad,5,3,5,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847895,11/13/1997,NA,A70,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,3,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0
837399,10/23/1989,GOW,A71,M,ad,0,0,0,0,0,0,0,1,1,0,1,3,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847656,3/15/1990,NA,A72,NA,fl,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837355,3/26/1989,NA,A73,M,fl,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,3,3,1,3,5,5,5,3,5,5,1,1,3,0,0,0,0,0
844417,1/18/1986,NA,A75,F,fl,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,3,3,3,3,0,0,0,0,0,0,3,0,0,0,0
837333,3/21/1989,NA,A75,M,fl,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,5,3,3,3,3,3,1,3,3,5,3,1,0,0,0,0,0
844043,9/23/1983,WNR,A76,F,ad,0,3,0,3,3,0,5,3,3,1,3,1,3,0,3,5,5,5,5,5,1,0,5,1,1,1,0,0,0,0,0,0,0,0
837310,10/18/1988,ORN,A77,M,ad,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,3,3,5,1,1,5,3,3,5,3,3,1,3,1,0,3,1,1,1
